#{"t_start": 1583513794.7985606, "env_id": "cursorcontrol-v1"}
r,l,t
-6236341.196961,500,11.229094
-6236448.001925,500,18.367302
-6236800.234539,500,25.463427
-6236556.507209,500,32.664592
-6235680.197616,500,39.922698
-6235857.505763,500,47.017574
-6236687.059658,500,54.104482
-6234707.285911,500,61.300147
-6235859.47957,500,68.747939
-6236938.635323,500,75.994642
-6236833.467927,500,83.052043
-6236275.713546,500,90.316322
-6236379.148218,500,97.479866
-6236504.531595,500,104.584404
-6235472.119243,500,111.617143
-6236770.429348,500,118.757761
-6236902.659146,500,125.880385
-141455.869555,76,126.955189
-821003.101411,182,129.494617
-6235178.017445,500,136.67897
-6236548.424655,500,143.791003
-6236873.02656,500,157.974864
-6236894.199555,500,165.148035
-6236638.271267,500,172.427094
-6236963.666018,500,179.605213
-6236979.012045,500,186.632214
-6236291.412761,500,193.799895
-6236598.265839,500,200.945956
-6236783.871016,500,208.770427
-6236905.951461,500,216.434101
-6236459.825825,500,223.688837
-6236393.548482,500,230.91907
-6237034.550176,500,238.013703
-6236858.551702,500,245.035274
-6236170.283737,500,252.173199
-6236540.426018,500,259.520793
-6236765.431115,500,266.608047
-6236353.072699,500,273.742835
-6237013.926299,500,280.823729
-6236643.696541,500,288.040003
-6236527.308001,500,295.09884
-6235657.961162,500,308.633094
-6236718.200876,500,315.831152
-6236932.122295,500,322.987583
-6236843.518161,500,330.119421
-6236788.889925,500,337.207219
-6235900.027008,500,344.33523
-6236966.377578,500,351.623647
-6237050.815851,500,358.658922
-6236994.757619,500,365.983928
-6236315.468937,500,373.135697
-6236906.734404,500,380.430656
-6235136.051097,500,387.588147
-6236692.146131,500,394.635736
-6236966.060785,500,401.806952
-602557.017095,156,404.0801
-6236800.665548,500,411.263511
-6234927.418749,500,418.331425
-6236952.003265,500,425.389546
-6236478.038832,500,432.651452
-6235696.223095,500,439.885237
-6236743.343477,500,447.564709
-6236950.455206,500,461.869663
-6236966.515083,500,469.05255
-6237040.676885,500,477.11047
-6236965.081871,500,485.141237
-6237021.137342,500,492.443313
-6236968.987039,500,499.804342
-6236370.68052,500,507.044949
-6236729.759552,500,514.219083
-6236695.632678,500,521.458056
-6236921.62021,500,528.712025
-96448.380838,63,529.682855
-6237020.362727,500,536.874487
-6236848.699363,500,544.209763
-6236304.440804,500,551.431435
-6236946.359795,500,558.632011
-6236788.472183,500,565.959663
-6235027.333047,500,573.245496
-6237054.520201,500,580.474607
-6236060.066564,500,587.735006
-6236502.413222,500,595.096445
-6236943.953803,500,602.363788
-5462407.842541,468,615.668243
-6236421.264882,500,622.862598
-6233720.371647,500,630.106257
-6236870.131069,500,637.366745
-6237055.451208,500,644.650234
-6237081.994397,500,651.944985
-6237085.528769,500,659.320854
-6236896.274119,500,667.490188
-6236987.56465,500,676.3674
-6236981.633182,500,684.215915
-6236546.566103,500,691.492678
-6236290.524895,500,698.6746
-6236991.050832,500,706.776519
-2455962.874324,314,711.34496
-6236577.344676,500,719.588309
-6236829.937683,500,729.329581
-6235684.452379,500,737.791915
-6236757.457649,500,746.046683
-6236589.611695,500,753.615997
-6236438.154271,500,761.955348
-6236543.68359,500,775.796892
-6236982.260912,500,783.231832
-6237027.502522,500,790.420659
-6236369.760878,500,797.569206
-6236822.52778,500,804.998373
-6236663.016646,500,812.33374
-6236180.340743,500,819.540826
-6236217.194934,500,826.711316
-6236472.135735,500,834.111485
-6236731.7839,500,841.295293
-6236783.385251,500,848.49911
-6236225.569256,500,855.626344
-6236061.467038,500,862.854759
-6236957.526393,500,870.073267
-6237050.719542,500,877.751144
-6237005.065108,500,885.983235
-6236154.838809,500,893.283381
-6236517.639038,500,900.48065
-6237084.450783,500,907.601214
